theta,Kmax,rho_w,CoopFraction_tailmean,MoransI_tailmean
0.5,10,0.2,0.7503846153846154,0.7475324505677197
0.5,10,0.4,0.7515384615384616,0.7661561124452182
0.5,10,0.5,0.7526923076923077,0.755561942882889
0.5,10,0.6,0.7273076923076923,0.7342702906385861
0.5,10,0.7,0.7192307692307692,0.7676535340190138
0.5,20,0.2,0.7257692307692308,0.7825990219695439
0.5,20,0.4,0.7496153846153848,0.7638273873653472
0.5,20,0.5,0.7511538461538462,0.7526087042951122
0.5,20,0.6,0.7184615384615383,0.736483962842268
0.5,20,0.7,0.7030769230769229,0.7727781692634378
0.5,30,0.2,0.7242307692307691,0.784632235692883
0.5,30,0.4,0.7403846153846154,0.7637437590087772
0.5,30,0.5,0.7438461538461538,0.7513410282808173
0.5,30,0.6,0.6946153846153845,0.7317082474280104
0.5,30,0.7,0.6630769230769231,0.7828669718695639
0.5,40,0.2,0.7242307692307691,0.784632235692883
0.5,40,0.4,0.7296153846153846,0.7602861284240076
0.5,40,0.5,0.7384615384615384,0.7523844720013957
0.5,40,0.6,0.6657692307692309,0.7311148366504848
0.5,40,0.7,0.6253846153846153,0.7892770274896019
0.5,50,0.2,0.7242307692307691,0.784632235692883
0.5,50,0.4,0.7103846153846154,0.7647284127312104
0.5,50,0.5,0.716923076923077,0.7481194138927015
0.5,50,0.6,0.6311538461538462,0.7417688207193908
0.5,50,0.7,0.5934615384615385,0.798461533405689
2.0,10,0.2,0.7503846153846154,0.7475324505677197
2.0,10,0.4,0.7430769230769232,0.7640668465250976
2.0,10,0.5,0.7461538461538461,0.7555427508082851
2.0,10,0.6,0.7103846153846155,0.7329206456542667
2.0,10,0.7,0.7026923076923077,0.7671895022008155
2.0,20,0.2,0.7242307692307691,0.784632235692883
2.0,20,0.4,0.7453846153846155,0.762497124533276
2.0,20,0.5,0.7442307692307693,0.7523499828936944
2.0,20,0.6,0.705,0.7343541638213237
2.0,20,0.7,0.6807692307692306,0.7780509881805637
2.0,30,0.2,0.7242307692307691,0.784632235692883
2.0,30,0.4,0.7330769230769232,0.7601616225522044
2.0,30,0.5,0.7388461538461537,0.7511629340691771
2.0,30,0.6,0.6784615384615387,0.7301248219435519
2.0,30,0.7,0.6507692307692309,0.7840980666211611
2.0,40,0.2,0.7242307692307691,0.784632235692883
2.0,40,0.4,0.7203846153846154,0.7620407382882953
2.0,40,0.5,0.7307692307692307,0.751499219921455
2.0,40,0.6,0.6549999999999999,0.7336963970707172
2.0,40,0.7,0.6153846153846154,0.7908802671322323
2.0,50,0.2,0.7242307692307691,0.784632235692883
2.0,50,0.4,0.6973076923076925,0.7678030346325113
2.0,50,0.5,0.7084615384615384,0.7518031173506874
2.0,50,0.6,0.6196153846153846,0.7487448048981251
2.0,50,0.7,0.5842307692307692,0.7995007095637798
5.0,10,0.2,0.7465384615384616,0.7521623062845003
5.0,10,0.4,0.7261538461538461,0.7656273667751827
5.0,10,0.5,0.7292307692307691,0.7517510304278632
5.0,10,0.6,0.6784615384615384,0.7348099952292515
5.0,10,0.7,0.6753846153846154,0.7764614798662934
5.0,20,0.2,0.7242307692307691,0.784632235692883
5.0,20,0.4,0.7300000000000002,0.7607962915784172
5.0,20,0.5,0.7315384615384615,0.7504430601232392
5.0,20,0.6,0.6807692307692308,0.7320627125194642
5.0,20,0.7,0.6511538461538463,0.782259488639782
5.0,30,0.2,0.7242307692307691,0.784632235692883
5.0,30,0.4,0.713076923076923,0.7641783580496555
5.0,30,0.5,0.7223076923076923,0.7511563680037644
5.0,30,0.6,0.6565384615384615,0.7349462357514335
5.0,30,0.7,0.6257692307692307,0.7866025561550375
5.0,40,0.2,0.7242307692307691,0.784632235692883
5.0,40,0.4,0.6919230769230769,0.7633090468099794
5.0,40,0.5,0.7088461538461538,0.7542616986054178
5.0,40,0.6,0.6323076923076922,0.7391619851100703
5.0,40,0.7,0.5953846153846154,0.7903886194250351
5.0,50,0.2,0.7242307692307691,0.784632235692883
5.0,50,0.4,0.6757692307692308,0.7679408275513653
5.0,50,0.5,0.6953846153846153,0.7515167472274826
5.0,50,0.6,0.5911538461538461,0.7609042732591644
5.0,50,0.7,0.5657692307692307,0.7987725690155238
10.0,10,0.2,0.7196153846153847,0.7822300525322543
10.0,10,0.4,0.7011538461538461,0.763545921273209
10.0,10,0.5,0.7034615384615385,0.7496688111050915
10.0,10,0.6,0.6353846153846153,0.7407741752164442
10.0,10,0.7,0.628076923076923,0.7809772166029355
10.0,20,0.2,0.7242307692307691,0.784632235692883
10.0,20,0.4,0.6946153846153845,0.7661414362816127
10.0,20,0.5,0.7088461538461538,0.7564125661338971
10.0,20,0.6,0.6342307692307693,0.7390864323710675
10.0,20,0.7,0.6119230769230769,0.7809441346851277
10.0,30,0.2,0.7226923076923076,0.7834997604211696
10.0,30,0.4,0.676923076923077,0.7663074568824372
10.0,30,0.5,0.6911538461538461,0.7507491659288875
10.0,30,0.6,0.6119230769230769,0.7516662955361788
10.0,30,0.7,0.5884615384615385,0.7842520526241182
10.0,40,0.2,0.7196153846153847,0.7829776205071315
10.0,40,0.4,0.6692307692307692,0.768482083897906
10.0,40,0.5,0.6792307692307692,0.7496438990318144
10.0,40,0.6,0.5807692307692308,0.7632606444379764
10.0,40,0.7,0.5607692307692308,0.7926522774876088
10.0,50,0.2,0.7196153846153847,0.7805898386929523
10.0,50,0.4,0.6603846153846155,0.7695149308097183
10.0,50,0.5,0.6638461538461539,0.7489542416274736
10.0,50,0.6,0.5465384615384615,0.765871517822004
10.0,50,0.7,0.5384615384615384,0.7993944051743258
